capture,x,y,w,h
Screenshot_20240715_225219_com.xiachufang.jpg,66,18560,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,18560,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,19250,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,20930,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,20930,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,21742,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,23682,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,23682,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,24346,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,26050,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,27756,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,27756,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,28420,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,29230,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,31172,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,31172,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,31836,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,33540,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,33540,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,34204,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,35910,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,35910,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,37384,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,13441,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,626,26048,528,528
Screenshot_20240715_225219_com.xiachufang.jpg,66,36573,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,1900,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,1900,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,2564,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,4268,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,4268,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,4932,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,5744,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,6556,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,8496,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,8496,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,9160,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,9972,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,11678,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,11679,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,12342,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,13154,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,15094,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,15758,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,17462,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,19832,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,19832,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,20644,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,22584,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,22584,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,23248,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,24952,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,26653,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,26660,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,27470,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,29410,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,29410,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,31114,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,33484,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,33484,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,15097,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,17460,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,18128,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,626,24953,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,31116,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,31782,528,528
Screenshot_20240715_225351_com.xiachufang.jpg,66,34287,528,528
Screenshot_20240715_225534_com.xiachufang.jpg,66,1846,528,528
Screenshot_20240715_225534_com.xiachufang.jpg,626,1846,528,528
Screenshot_20240715_225534_com.xiachufang.jpg,66,2510,528,528
Screenshot_20240715_225534_com.xiachufang.jpg,66,5920,528,528
